Datetime,LVNTA
2017-11-21 15:30:00,58.380001068115234
2017-11-21 16:30:00,58.439998626708984
2017-11-21 17:30:00,58.34000015258789
2017-11-21 18:30:00,58.400001525878906
2017-11-21 19:30:00,58.4900016784668
2017-11-21 20:30:00,58.439998626708984
2017-11-22 14:30:00,57.7599983215332
2017-11-22 15:30:00,57.84450149536133
2017-11-22 16:30:00,57.959999084472656
2017-11-22 17:30:00,57.869998931884766
2017-11-22 18:30:00,57.790000915527344
2017-11-22 19:30:00,57.86000061035156
2017-11-22 20:30:00,57.90999984741211
2017-11-24 14:30:00,57.849998474121094
2017-11-24 15:30:00,57.459999084472656
2017-11-24 16:30:00,57.369998931884766
2017-11-24 17:30:00,57.657501220703125
2017-11-27 14:30:00,56.60499954223633
2017-11-27 15:30:00,56.08000183105469
2017-11-27 16:30:00,56.2599983215332
2017-11-27 17:30:00,56.040000915527344
2017-11-27 18:30:00,55.91999816894531
2017-11-27 19:30:00,55.72999954223633
2017-11-27 20:30:00,55.56999969482422
2017-11-28 14:30:00,55.09000015258789
2017-11-28 15:30:00,55.459999084472656
2017-11-28 16:30:00,55.630001068115234
2017-11-28 17:30:00,55.540000915527344
2017-11-28 18:30:00,55.529998779296875
2017-11-28 19:30:00,55.78499984741211
2017-11-28 20:30:00,55.81999969482422
2017-11-29 14:30:00,55.83000183105469
2017-11-29 15:30:00,56.05500030517578
2017-11-29 16:30:00,56.220001220703125
2017-11-29 17:30:00,56.2599983215332
2017-11-29 18:30:00,56.119998931884766
2017-11-29 19:30:00,56.099998474121094
2017-11-29 20:30:00,56.29999923706055
2017-11-30 14:30:00,55.34000015258789
2017-11-30 15:30:00,55.52000045776367
2017-11-30 16:30:00,55.529998779296875
2017-11-30 17:30:00,55.92890167236328
2017-11-30 18:30:00,56.025001525878906
2017-11-30 19:30:00,55.779998779296875
2017-11-30 20:30:00,55.849998474121094
2017-12-01 14:30:00,56.45000076293945
2017-12-01 15:30:00,56.20000076293945
2017-12-01 16:30:00,56.369998931884766
2017-12-01 17:30:00,56.94499969482422
2017-12-01 18:30:00,57.08000183105469
2017-12-01 19:30:00,56.93000030517578
2017-12-01 20:30:00,57.22999954223633
2017-12-04 14:30:00,58.18000030517578
2017-12-04 15:30:00,58.08000183105469
2017-12-04 16:30:00,57.619998931884766
