Datetime,MNST
2017-12-04 17:30:00,62.83000183105469
2017-12-04 18:30:00,62.88999938964844
2017-12-04 19:30:00,63.220001220703125
2017-12-04 20:30:00,63.349998474121094
2017-12-05 14:30:00,63.31999969482422
2017-12-05 15:30:00,63.22999954223633
2017-12-05 16:30:00,63.040000915527344
2017-12-05 17:30:00,63.02000045776367
2017-12-05 18:30:00,63.11000061035156
2017-12-05 19:30:00,63.189998626708984
2017-12-05 20:30:00,63.029998779296875
2017-12-06 14:30:00,63.040000915527344
2017-12-06 15:30:00,62.911399841308594
2017-12-06 16:30:00,62.88999938964844
2017-12-06 17:30:00,62.650001525878906
2017-12-06 18:30:00,63.08000183105469
2017-12-06 19:30:00,63.189998626708984
2017-12-06 20:30:00,63.2599983215332
2017-12-07 14:30:00,62.849998474121094
