Datetime,VIAB
2017-11-21 20:30:00,27.25
2017-11-22 14:30:00,26.260000228881836
2017-11-22 15:30:00,26.565000534057617
2017-11-22 16:30:00,26.760000228881836
2017-11-22 17:30:00,26.725000381469727
2017-11-22 18:30:00,26.723400115966797
2017-11-22 19:30:00,26.739999771118164
2017-11-22 20:30:00,26.670000076293945
2017-11-24 14:30:00,26.3799991607666
2017-11-24 15:30:00,26.389999389648438
2017-11-24 16:30:00,26.420000076293945
2017-11-24 18:00:00,26.394399642944336
2017-11-27 14:30:00,26.389999389648438
2017-11-27 15:30:00,26.334999084472656
2017-11-27 16:30:00,26.299999237060547
2017-11-27 17:30:00,26.43000030517578
2017-11-27 18:30:00,26.40999984741211
2017-11-27 19:30:00,26.510000228881836
2017-11-27 20:30:00,26.540000915527344
2017-11-28 14:30:00,26.200000762939453
2017-11-28 15:30:00,26.40999984741211
2017-11-28 16:30:00,26.6200008392334
2017-11-28 17:30:00,26.69499969482422
2017-11-28 18:30:00,26.84000015258789
2017-11-28 19:30:00,26.90999984741211
2017-11-28 20:30:00,27.040000915527344
2017-11-29 14:30:00,27.950000762939453
2017-11-29 15:30:00,27.959999084472656
2017-11-29 16:30:00,28.245399475097656
2017-11-29 17:30:00,27.969999313354492
2017-11-29 18:30:00,28.229999542236328
2017-11-29 19:30:00,28.235000610351562
2017-11-29 20:30:00,28.43000030517578
2017-11-30 14:30:00,27.899999618530273
2017-11-30 15:30:00,28.110000610351562
2017-11-30 16:30:00,28.260000228881836
2017-11-30 17:30:00,28.1299991607666
2017-11-30 18:30:00,28.1200008392334
2017-11-30 19:30:00,28.170000076293945
2017-11-30 20:30:00,28.31999969482422
2017-12-01 14:30:00,28.229999542236328
2017-12-01 15:30:00,28.030000686645508
2017-12-01 16:30:00,28.25
2017-12-01 17:30:00,28.40999984741211
2017-12-01 18:30:00,28.545000076293945
2017-12-01 19:30:00,28.35110092163086
2017-12-01 20:30:00,28.399999618530273
2017-12-04 14:30:00,29.524999618530273
2017-12-04 15:30:00,29.93000030517578
2017-12-04 16:30:00,29.309999465942383
2017-12-04 17:30:00,29.469999313354492
