Datetime,CHKP
2017-12-04 19:30:00,102.70999908447266
2017-12-04 20:30:00,102.66999816894531
2017-12-05 14:30:00,104.48999786376953
2017-12-05 15:30:00,104.45249938964844
2017-12-05 16:30:00,104.08999633789062
2017-12-05 17:30:00,104.23999786376953
2017-12-05 18:30:00,103.5999984741211
2017-12-05 19:30:00,103.91999816894531
2017-12-05 20:30:00,103.61000061035156
2017-12-06 14:30:00,103.16000366210938
2017-12-06 15:30:00,103.31999969482422
2017-12-06 16:30:00,102.93000030517578
2017-12-06 17:30:00,103.16000366210938
2017-12-06 18:30:00,103.50499725341797
2017-12-06 19:30:00,103.54000091552734
2017-12-06 20:30:00,103.55999755859375
2017-12-07 14:30:00,101.62999725341797
2017-12-07 15:30:00,103.19999694824219
2017-12-07 16:30:00,103.51000213623047
