Datetime,ADP
2018-02-27 15:30:00,117.73999786376953
2018-02-27 16:30:00,117.37999725341797
2018-02-27 17:30:00,117.3499984741211
2018-02-27 18:30:00,117.08999633789062
2018-02-27 19:30:00,116.80999755859375
2018-02-27 20:30:00,116.4800033569336
2018-02-28 14:30:00,117.05000305175781
2018-02-28 15:30:00,115.94999694824219
2018-02-28 16:30:00,116.31999969482422
2018-02-28 17:30:00,117.05999755859375
2018-02-28 18:30:00,116.94999694824219
2018-02-28 19:30:00,115.98999786376953
2018-02-28 20:30:00,115.36000061035156
2018-03-01 14:30:00,115.20999908447266
2018-03-01 15:30:00,114.81999969482422
2018-03-01 16:30:00,114.23999786376953
2018-03-01 17:30:00,113.75
2018-03-01 18:30:00,113.45999908447266
2018-03-01 19:30:00,114.08000183105469
2018-03-01 20:30:00,113.76000213623047
2018-03-02 14:30:00,113.11000061035156
2018-03-02 15:30:00,113.20999908447266
2018-03-02 16:30:00,113.2249984741211
2018-03-02 17:30:00,112.61669921875
2018-03-02 18:30:00,112.60320281982422
2018-03-02 19:30:00,112.97000122070312
2018-03-02 20:30:00,113.63999938964844
2018-03-05 14:30:00,113.18000030517578
2018-03-05 15:30:00,114.01000213623047
2018-03-05 16:30:00,114.63500213623047
2018-03-05 17:30:00,115.1937026977539
2018-03-05 18:30:00,114.91999816894531
2018-03-05 19:30:00,115.38999938964844
2018-03-05 20:30:00,115.6500015258789
2018-03-06 14:30:00,115.47000122070312
2018-03-06 15:30:00,114.6500015258789
2018-03-06 16:30:00,114.43000030517578
2018-03-06 17:30:00,115.18000030517578
2018-03-06 18:30:00,114.7300033569336
2018-03-06 19:30:00,115.0199966430664
2018-03-06 20:30:00,115.4000015258789
2018-03-07 14:30:00,115.18000030517578
2018-03-07 15:30:00,114.48999786376953
2018-03-07 16:30:00,113.93000030517578
2018-03-07 17:30:00,114.22689819335938
2018-03-07 18:30:00,114.44999694824219
2018-03-07 19:30:00,115.13999938964844
2018-03-07 20:30:00,115.19000244140625
2018-03-08 14:30:00,116.05999755859375
2018-03-08 15:30:00,116.38999938964844
2018-03-08 16:30:00,116.4000015258789
2018-03-08 17:30:00,116.1500015258789
2018-03-08 18:30:00,116.18000030517578
2018-03-08 19:30:00,116.97000122070312
2018-03-08 20:30:00,116.94000244140625
2018-03-09 14:30:00,117.62999725341797
2018-03-09 15:30:00,118.16999816894531
2018-03-09 16:30:00,118.11000061035156
2018-03-09 17:30:00,118.091796875
2018-03-09 18:30:00,118.24009704589844
2018-03-09 19:30:00,118.66999816894531
2018-03-09 20:30:00,118.81999969482422
2018-03-12 13:30:00,118.66999816894531
2018-03-12 14:30:00,118.12999725341797
2018-03-12 15:30:00,118.36000061035156
2018-03-12 16:30:00,118.19999694824219
2018-03-12 17:30:00,117.6895980834961
2018-03-12 18:30:00,117.5
2018-03-12 19:30:00,117.54000091552734
2018-03-13 13:30:00,118.28500366210938
2018-03-13 14:30:00,118.41000366210938
2018-03-13 15:30:00,117.69000244140625
2018-03-13 16:30:00,117.81500244140625
2018-03-13 17:30:00,117.55000305175781
2018-03-13 18:30:00,117.16999816894531
2018-03-13 19:30:00,117.37000274658203
2018-03-14 13:30:00,116.61000061035156
2018-03-14 14:30:00,116.4000015258789
2018-03-14 15:30:00,115.86000061035156
2018-03-14 16:30:00,115.87000274658203
2018-03-14 17:30:00,116.23999786376953
2018-03-14 18:30:00,115.68000030517578
2018-03-14 19:30:00,116.0999984741211
2018-03-15 13:30:00,117.83000183105469
2018-03-15 14:30:00,117.51419830322266
2018-03-15 15:30:00,116.72000122070312
2018-03-15 16:30:00,116.58999633789062
2018-03-15 17:30:00,116.37000274658203
2018-03-15 18:30:00,116.51000213623047
2018-03-15 19:30:00,116.4800033569336
2018-03-16 13:30:00,117.56999969482422
2018-03-16 14:30:00,117.44999694824219
2018-03-16 15:30:00,117.19999694824219
2018-03-16 16:30:00,117.36190032958984
2018-03-16 17:30:00,117.33000183105469
2018-03-16 18:30:00,117.3499984741211
2018-03-16 19:30:00,117.1500015258789
2018-03-19 13:30:00,116.16000366210938
2018-03-19 14:30:00,115.36000061035156
2018-03-19 15:30:00,114.93000030517578
2018-03-19 16:30:00,114.08999633789062
2018-03-19 17:30:00,113.97000122070312
2018-03-19 18:30:00,114.11000061035156
2018-03-19 19:30:00,114.4800033569336
2018-03-20 13:30:00,115.30000305175781
2018-03-20 14:30:00,115.66000366210938
2018-03-20 15:30:00,115.68000030517578
2018-03-20 16:30:00,115.27999877929688
2018-03-20 17:30:00,115.26000213623047
2018-03-20 18:30:00,115.80999755859375
2018-03-20 19:30:00,115.55999755859375
2018-03-21 13:30:00,116.5
2018-03-21 14:30:00,116.30999755859375
2018-03-21 15:30:00,116.41999816894531
2018-03-21 16:30:00,116.37000274658203
2018-03-21 17:30:00,116.5199966430664
2018-03-21 18:30:00,116.38999938964844
2018-03-21 19:30:00,116.3499984741211
2018-03-22 13:30:00,114.84500122070312
2018-03-22 14:30:00,114.1500015258789
2018-03-22 15:30:00,115.20999908447266
2018-03-22 16:30:00,115.20999908447266
2018-03-22 17:30:00,114.52999877929688
2018-03-22 18:30:00,114.04519653320312
2018-03-22 19:30:00,113.1500015258789
2018-03-23 13:30:00,112.53990173339844
2018-03-23 14:30:00,112.0199966430664
2018-03-23 15:30:00,111.7249984741211
2018-03-23 16:30:00,112.25
2018-03-23 17:30:00,111.7699966430664
2018-03-23 18:30:00,110.16000366210938
2018-03-23 19:30:00,109.19999694824219
2018-03-26 13:30:00,112.33999633789062
2018-03-26 14:30:00,111.50499725341797
2018-03-26 15:30:00,112.41000366210938
2018-03-26 16:30:00,112.55000305175781
2018-03-26 17:30:00,113.42500305175781
2018-03-26 18:30:00,114.1449966430664
2018-03-26 19:30:00,114.05000305175781
2018-03-27 13:30:00,113.73999786376953
2018-03-27 14:30:00,114.44000244140625
2018-03-27 15:30:00,114.9000015258789
2018-03-27 16:30:00,114.76000213623047
2018-03-27 17:30:00,113.94000244140625
2018-03-27 18:30:00,112.5
2018-03-27 19:30:00,112.26000213623047
2018-03-28 13:30:00,112.2699966430664
2018-03-28 14:30:00,112.16000366210938
2018-03-28 15:30:00,112.9000015258789
2018-03-28 16:30:00,112.52200317382812
2018-03-28 17:30:00,112.20999908447266
2018-03-28 18:30:00,112.36000061035156
2018-03-28 19:30:00,111.75
2018-03-29 13:30:00,112.02999877929688
2018-03-29 14:30:00,112.44000244140625
2018-03-29 15:30:00,113.19999694824219
2018-03-29 16:30:00,113.4800033569336
2018-03-29 17:30:00,113.87999725341797
2018-03-29 18:30:00,113.9000015258789
2018-03-29 19:30:00,113.5
2018-04-02 13:30:00,114.22000122070312
2018-04-02 14:30:00,113.73999786376953
2018-04-02 15:30:00,113.11000061035156
2018-04-02 16:30:00,112.45999908447266
2018-04-02 17:30:00,112.13999938964844
2018-04-02 18:30:00,112.26000213623047
2018-04-02 19:30:00,113.29000091552734
2018-04-03 13:30:00,113.23999786376953
2018-04-03 14:30:00,113.55999755859375
2018-04-03 15:30:00,113.16000366210938
2018-04-03 16:30:00,113.41000366210938
2018-04-03 17:30:00,112.97000122070312
2018-04-03 18:30:00,114.4800033569336
2018-04-03 19:30:00,114.06999969482422
2018-04-04 13:30:00,113.77999877929688
2018-04-04 14:30:00,114.35009765625
2018-04-04 15:30:00,115.0199966430664
2018-04-04 16:30:00,115.0199966430664
2018-04-04 17:30:00,116.08000183105469
2018-04-04 18:30:00,116.7699966430664
2018-04-04 19:30:00,116.7300033569336
2018-04-05 13:30:00,117.75
2018-04-05 14:30:00,118.23999786376953
2018-04-05 15:30:00,117.58000183105469
2018-04-05 16:30:00,117.66500091552734
2018-04-05 17:30:00,117.44999694824219
2018-04-05 18:30:00,117.80000305175781
2018-04-05 19:30:00,117.51000213623047
2018-04-06 13:30:00,116.66000366210938
2018-04-06 14:30:00,115.4800033569336
2018-04-06 15:30:00,115.41000366210938
2018-04-06 16:30:00,115.9000015258789
2018-04-06 17:30:00,114.1500015258789
2018-04-06 18:30:00,113.61000061035156
2018-04-06 19:30:00,113.69999694824219
2018-04-09 13:30:00,115.06999969482422
2018-04-09 14:30:00,115.46499633789062
