Datetime,CELG
2018-02-05 20:30:00,93.75
2018-02-06 14:30:00,94.44000244140625
2018-02-06 15:30:00,93.80000305175781
2018-02-06 16:30:00,95.22850036621094
2018-02-06 17:30:00,95.19000244140625
2018-02-06 18:30:00,94.4999008178711
2018-02-06 19:30:00,95.9999008178711
2018-02-06 20:30:00,96.2699966430664
2018-02-07 14:30:00,95.98999786376953
2018-02-07 15:30:00,96.36000061035156
2018-02-07 16:30:00,95.7300033569336
2018-02-07 17:30:00,95.34590148925781
2018-02-07 18:30:00,95.94000244140625
2018-02-07 19:30:00,96.12000274658203
2018-02-07 20:30:00,95.16000366210938
2018-02-08 14:30:00,94.37999725341797
2018-02-08 15:30:00,93.48999786376953
2018-02-08 16:30:00,93.60160064697266
2018-02-08 17:30:00,92.91000366210938
2018-02-08 18:30:00,93.08999633789062
2018-02-08 19:30:00,92.31999969482422
2018-02-08 20:30:00,91.0000991821289
2018-02-09 14:30:00,93.80999755859375
2018-02-09 15:30:00,91.63500213623047
2018-02-09 16:30:00,89.06999969482422
2018-02-09 17:30:00,88.94000244140625
2018-02-09 18:30:00,90.81999969482422
2018-02-09 19:30:00,91.66999816894531
2018-02-09 20:30:00,92.48999786376953
2018-02-12 14:30:00,92.19000244140625
2018-02-12 15:30:00,92.2300033569336
2018-02-12 16:30:00,92.26010131835938
2018-02-12 17:30:00,91.83419799804688
2018-02-12 18:30:00,91.97000122070312
2018-02-12 19:30:00,91.98500061035156
2018-02-12 20:30:00,91.50499725341797
2018-02-13 14:30:00,91.98500061035156
2018-02-13 15:30:00,91.22000122070312
2018-02-13 16:30:00,91.38999938964844
2018-02-13 17:30:00,91.37000274658203
2018-02-13 18:30:00,91.57499694824219
2018-02-13 19:30:00,92.33999633789062
2018-02-13 20:30:00,91.98999786376953
2018-02-14 14:30:00,93.52999877929688
2018-02-14 15:30:00,93.37999725341797
2018-02-14 16:30:00,93.44000244140625
2018-02-14 17:30:00,94.31999969482422
2018-02-14 18:30:00,94.3499984741211
2018-02-14 19:30:00,94.26000213623047
2018-02-14 20:30:00,94.38999938964844
2018-02-15 14:30:00,96.69999694824219
2018-02-15 15:30:00,96.7699966430664
2018-02-15 16:30:00,96.94000244140625
2018-02-15 17:30:00,96.64959716796875
2018-02-15 18:30:00,96.13999938964844
2018-02-15 19:30:00,95.9000015258789
2018-02-15 20:30:00,96.1500015258789
2018-02-16 14:30:00,96.18000030517578
2018-02-16 15:30:00,96.55999755859375
2018-02-16 16:30:00,96.44999694824219
2018-02-16 17:30:00,95.88999938964844
2018-02-16 18:30:00,95.62000274658203
2018-02-16 19:30:00,95.94000244140625
2018-02-16 20:30:00,95.27999877929688
2018-02-20 14:30:00,94.79000091552734
2018-02-20 15:30:00,94.94000244140625
2018-02-20 16:30:00,94.7300033569336
2018-02-20 17:30:00,94.33999633789062
2018-02-20 18:30:00,94.33000183105469
2018-02-20 19:30:00,93.80999755859375
2018-02-20 20:30:00,93.83999633789062
2018-02-21 14:30:00,94.59400177001953
2018-02-21 15:30:00,94.8499984741211
2018-02-21 16:30:00,94.69999694824219
2018-02-21 17:30:00,95.08999633789062
2018-02-21 18:30:00,95.41999816894531
2018-02-21 19:30:00,95.01000213623047
2018-02-21 20:30:00,93.88999938964844
2018-02-22 14:30:00,95.08000183105469
2018-02-22 15:30:00,95.06999969482422
2018-02-22 16:30:00,94.79000091552734
2018-02-22 17:30:00,94.58999633789062
2018-02-22 18:30:00,94.52999877929688
2018-02-22 19:30:00,93.9834976196289
2018-02-22 20:30:00,93.80999755859375
2018-02-23 14:30:00,94.0999984741211
2018-02-23 15:30:00,94.48100280761719
2018-02-23 16:30:00,94.4800033569336
2018-02-23 17:30:00,94.54000091552734
2018-02-23 18:30:00,94.76000213623047
2018-02-23 19:30:00,95.2666015625
2018-02-23 20:30:00,95.62000274658203
2018-02-26 14:30:00,95.5999984741211
2018-02-26 15:30:00,95.91999816894531
2018-02-26 16:30:00,96.1500015258789
2018-02-26 17:30:00,96.3499984741211
2018-02-26 18:30:00,96.3499984741211
2018-02-26 19:30:00,96.58999633789062
2018-02-26 20:30:00,96.48999786376953
2018-02-27 14:30:00,96.79000091552734
2018-02-27 15:30:00,96.02999877929688
2018-02-27 16:30:00,96.23999786376953
2018-02-27 17:30:00,96.31999969482422
2018-02-27 18:30:00,96.12999725341797
2018-02-27 19:30:00,95.91000366210938
2018-02-27 20:30:00,95.76000213623047
2018-02-28 14:30:00,88.51499938964844
2018-02-28 15:30:00,88.09500122070312
2018-02-28 16:30:00,87.77989959716797
2018-02-28 17:30:00,88.20010375976562
2018-02-28 18:30:00,88.68000030517578
2018-02-28 19:30:00,87.91999816894531
2018-02-28 20:30:00,87.11000061035156
2018-03-01 14:30:00,88.69000244140625
2018-03-01 15:30:00,88.04000091552734
2018-03-01 16:30:00,89.29000091552734
2018-03-01 17:30:00,88.11000061035156
2018-03-01 18:30:00,87.41999816894531
2018-03-01 19:30:00,87.43000030517578
2018-03-01 20:30:00,87.18000030517578
2018-03-02 14:30:00,87.5999984741211
2018-03-02 15:30:00,89.11499786376953
2018-03-02 16:30:00,89.29000091552734
2018-03-02 17:30:00,89.13999938964844
2018-03-02 18:30:00,89.43000030517578
2018-03-02 19:30:00,89.5999984741211
2018-03-02 20:30:00,89.30999755859375
2018-03-05 14:30:00,87.96499633789062
2018-03-05 15:30:00,88.44999694824219
2018-03-05 16:30:00,88.62999725341797
2018-03-05 17:30:00,88.74700164794922
2018-03-05 18:30:00,88.31999969482422
2018-03-05 19:30:00,88.16000366210938
2018-03-05 20:30:00,89.0
2018-03-06 14:30:00,89.41000366210938
2018-03-06 15:30:00,88.51000213623047
2018-03-06 16:30:00,88.96499633789062
2018-03-06 17:30:00,89.06999969482422
2018-03-06 18:30:00,88.58999633789062
2018-03-06 19:30:00,88.94999694824219
2018-03-06 20:30:00,89.16000366210938
2018-03-07 14:30:00,90.17500305175781
2018-03-07 15:30:00,89.48280334472656
2018-03-07 16:30:00,88.7699966430664
2018-03-07 17:30:00,89.26000213623047
2018-03-07 18:30:00,89.62000274658203
2018-03-07 19:30:00,90.01499938964844
2018-03-07 20:30:00,90.20500183105469
2018-03-08 14:30:00,90.51000213623047
2018-03-08 15:30:00,90.9000015258789
2018-03-08 16:30:00,90.92500305175781
2018-03-08 17:30:00,91.12000274658203
2018-03-08 18:30:00,90.55999755859375
2018-03-08 19:30:00,91.37000274658203
2018-03-08 20:30:00,91.16999816894531
2018-03-09 14:30:00,91.25
2018-03-09 15:30:00,91.73999786376953
2018-03-09 16:30:00,92.11000061035156
2018-03-09 17:30:00,92.33999633789062
2018-03-09 18:30:00,92.20999908447266
2018-03-09 19:30:00,92.04000091552734
2018-03-09 20:30:00,92.55999755859375
2018-03-12 13:30:00,91.98999786376953
2018-03-12 14:30:00,91.95999908447266
2018-03-12 15:30:00,92.36000061035156
2018-03-12 16:30:00,92.3499984741211
2018-03-12 17:30:00,92.09500122070312
2018-03-12 18:30:00,92.5
2018-03-12 19:30:00,92.30999755859375
2018-03-13 13:30:00,93.05000305175781
2018-03-13 14:30:00,92.58000183105469
2018-03-13 15:30:00,91.87000274658203
2018-03-13 16:30:00,92.31999969482422
2018-03-13 17:30:00,91.86000061035156
2018-03-13 18:30:00,91.66999816894531
2018-03-13 19:30:00,91.55999755859375
2018-03-14 13:30:00,92.06999969482422
2018-03-14 14:30:00,92.5199966430664
2018-03-14 15:30:00,92.08000183105469
2018-03-14 16:30:00,91.8198013305664
2018-03-14 17:30:00,91.94000244140625
2018-03-14 18:30:00,91.71499633789062
2018-03-14 19:30:00,91.63999938964844
2018-03-15 13:30:00,90.95999908447266
2018-03-15 14:30:00,90.87000274658203
2018-03-15 15:30:00,90.83999633789062
2018-03-15 16:30:00,90.75499725341797
2018-03-15 17:30:00,90.5
2018-03-15 18:30:00,90.11000061035156
2018-03-15 19:30:00,89.95999908447266
2018-03-16 13:30:00,90.81999969482422
2018-03-16 14:30:00,90.04119873046875
2018-03-16 15:30:00,89.95999908447266
2018-03-16 16:30:00,90.26000213623047
2018-03-16 17:30:00,89.9800033569336
2018-03-16 18:30:00,89.52999877929688
2018-03-16 19:30:00,89.56999969482422
2018-03-19 13:30:00,88.94999694824219
2018-03-19 14:30:00,88.44999694824219
2018-03-19 15:30:00,89.00579833984375
2018-03-19 16:30:00,88.05500030517578
2018-03-19 17:30:00,87.97000122070312
2018-03-19 18:30:00,88.61000061035156
2018-03-19 19:30:00,88.54000091552734
2018-03-20 13:30:00,87.69000244140625
2018-03-20 14:30:00,86.7300033569336
2018-03-20 15:30:00,87.02999877929688
2018-03-20 16:30:00,87.80999755859375
2018-03-20 17:30:00,88.05500030517578
2018-03-20 18:30:00,88.83000183105469
2018-03-20 19:30:00,88.2699966430664
2018-03-21 13:30:00,89.76000213623047
