Datetime,FB
2018-02-13 15:30:00,174.35000610351562
2018-02-13 16:30:00,174.2698974609375
2018-02-13 17:30:00,174.52000427246094
2018-02-13 18:30:00,174.39999389648438
2018-02-13 19:30:00,174.3000030517578
2018-02-13 20:30:00,173.13999938964844
2018-02-14 14:30:00,176.77999877929688
2018-02-14 15:30:00,177.10000610351562
2018-02-14 16:30:00,177.4199981689453
2018-02-14 17:30:00,178.125
2018-02-14 18:30:00,178.27000427246094
2018-02-14 19:30:00,179.3300018310547
2018-02-14 20:30:00,179.4600067138672
2018-02-15 14:30:00,178.47000122070312
2018-02-15 15:30:00,178.8300018310547
2018-02-15 16:30:00,178.47000122070312
2018-02-15 17:30:00,179.08999633789062
2018-02-15 18:30:00,179.22999572753906
2018-02-15 19:30:00,179.66000366210938
2018-02-15 20:30:00,179.9499969482422
2018-02-16 14:30:00,179.41000366210938
2018-02-16 15:30:00,178.97000122070312
2018-02-16 16:30:00,178.80999755859375
2018-02-16 17:30:00,177.5500030517578
2018-02-16 18:30:00,177.10499572753906
2018-02-16 19:30:00,176.9199981689453
2018-02-16 20:30:00,177.3699951171875
2018-02-20 14:30:00,176.64999389648438
2018-02-20 15:30:00,177.4550018310547
2018-02-20 16:30:00,177.25999450683594
2018-02-20 17:30:00,177.27999877929688
2018-02-20 18:30:00,176.5500030517578
2018-02-20 19:30:00,175.42999267578125
2018-02-20 20:30:00,175.99000549316406
2018-02-21 14:30:00,178.72999572753906
2018-02-21 15:30:00,180.4199981689453
2018-02-21 16:30:00,179.74000549316406
2018-02-21 17:30:00,180.35000610351562
2018-02-21 18:30:00,180.52999877929688
2018-02-21 19:30:00,179.1699981689453
2018-02-21 20:30:00,177.9199981689453
2018-02-22 14:30:00,179.9250030517578
2018-02-22 15:30:00,179.85000610351562
2018-02-22 16:30:00,179.0
2018-02-22 17:30:00,178.16000366210938
2018-02-22 18:30:00,178.77000427246094
2018-02-22 19:30:00,178.76300048828125
2018-02-22 20:30:00,178.99000549316406
2018-02-23 14:30:00,180.9499969482422
2018-02-23 15:30:00,181.75860595703125
2018-02-23 16:30:00,181.64999389648438
2018-02-23 17:30:00,182.38999938964844
2018-02-23 18:30:00,182.3800048828125
2018-02-23 19:30:00,183.039794921875
2018-02-23 20:30:00,183.3000030517578
2018-02-26 14:30:00,185.10000610351562
2018-02-26 15:30:00,184.72000122070312
2018-02-26 16:30:00,183.9499969482422
2018-02-26 17:30:00,184.49000549316406
2018-02-26 18:30:00,184.3583984375
2018-02-26 19:30:00,184.99000549316406
2018-02-26 20:30:00,184.92999267578125
2018-02-27 14:30:00,183.97999572753906
2018-02-27 15:30:00,183.33999633789062
2018-02-27 16:30:00,182.25999450683594
2018-02-27 17:30:00,182.8000030517578
2018-02-27 18:30:00,182.55999755859375
2018-02-27 19:30:00,182.12989807128906
2018-02-27 20:30:00,181.4600067138672
2018-02-28 14:30:00,182.4499969482422
2018-02-28 15:30:00,182.02000427246094
2018-02-28 16:30:00,181.30999755859375
2018-02-28 17:30:00,181.72000122070312
2018-02-28 18:30:00,181.85000610351562
2018-02-28 19:30:00,180.2100067138672
2018-02-28 20:30:00,178.32000732421875
2018-03-01 14:30:00,178.1699981689453
2018-03-01 15:30:00,177.39999389648438
2018-03-01 16:30:00,177.2738037109375
2018-03-01 17:30:00,176.3000030517578
2018-03-01 18:30:00,175.7100067138672
2018-03-01 19:30:00,176.27999877929688
2018-03-01 20:30:00,175.94000244140625
2018-03-02 14:30:00,173.94000244140625
2018-03-02 15:30:00,174.5500030517578
2018-03-02 16:30:00,175.80999755859375
2018-03-02 17:30:00,174.6300048828125
2018-03-02 18:30:00,175.29010009765625
2018-03-02 19:30:00,175.61000061035156
2018-03-02 20:30:00,176.63999938964844
2018-03-05 14:30:00,177.4199981689453
2018-03-05 15:30:00,179.00469970703125
2018-03-05 16:30:00,179.89999389648438
2018-03-05 17:30:00,180.32000732421875
2018-03-05 18:30:00,179.95989990234375
2018-03-05 19:30:00,180.77000427246094
2018-03-05 20:30:00,180.39999389648438
2018-03-06 14:30:00,181.86000061035156
2018-03-06 15:30:00,180.27999877929688
2018-03-06 16:30:00,180.35000610351562
2018-03-06 17:30:00,180.8300018310547
2018-03-06 18:30:00,179.8300018310547
2018-03-06 19:30:00,179.35000610351562
2018-03-06 20:30:00,179.77000427246094
2018-03-07 14:30:00,180.23500061035156
2018-03-07 15:30:00,180.6699981689453
2018-03-07 16:30:00,181.47000122070312
2018-03-07 17:30:00,181.97999572753906
2018-03-07 18:30:00,182.42999267578125
2018-03-07 19:30:00,183.50999450683594
2018-03-07 20:30:00,183.72000122070312
2018-03-08 14:30:00,182.42999267578125
2018-03-08 15:30:00,182.8197021484375
2018-03-08 16:30:00,182.41000366210938
2018-03-08 17:30:00,181.72000122070312
2018-03-08 18:30:00,181.8800048828125
2018-03-08 19:30:00,182.19000244140625
2018-03-08 20:30:00,182.30999755859375
2018-03-09 14:30:00,183.7899932861328
2018-03-09 15:30:00,184.75999450683594
2018-03-09 16:30:00,185.0500030517578
2018-03-09 17:30:00,185.1199951171875
2018-03-09 18:30:00,184.72000122070312
2018-03-09 19:30:00,184.97500610351562
2018-03-09 20:30:00,185.2100067138672
2018-03-12 13:30:00,184.91099548339844
2018-03-12 14:30:00,184.4499969482422
2018-03-12 15:30:00,185.17999267578125
2018-03-12 16:30:00,185.77999877929688
2018-03-12 17:30:00,185.11990356445312
2018-03-12 18:30:00,185.16000366210938
2018-03-12 19:30:00,184.77999877929688
2018-03-13 13:30:00,184.07000732421875
2018-03-13 14:30:00,182.00999450683594
2018-03-13 15:30:00,181.80520629882812
2018-03-13 16:30:00,182.74000549316406
2018-03-13 17:30:00,182.1999969482422
2018-03-13 18:30:00,181.88999938964844
2018-03-13 19:30:00,181.8699951171875
2018-03-14 13:30:00,183.5399932861328
2018-03-14 14:30:00,183.05999755859375
2018-03-14 15:30:00,182.6300048828125
2018-03-14 16:30:00,183.0
2018-03-14 17:30:00,183.94000244140625
2018-03-14 18:30:00,183.72999572753906
2018-03-14 19:30:00,184.22999572753906
2018-03-15 13:30:00,183.3699951171875
2018-03-15 14:30:00,183.25999450683594
2018-03-15 15:30:00,182.47000122070312
2018-03-15 16:30:00,182.8300018310547
2018-03-15 17:30:00,182.64649963378906
2018-03-15 18:30:00,183.52999877929688
2018-03-15 19:30:00,183.80999755859375
2018-03-16 13:30:00,184.57000732421875
2018-03-16 14:30:00,184.4149932861328
2018-03-16 15:30:00,183.97000122070312
2018-03-16 16:30:00,184.25
2018-03-16 17:30:00,184.5
2018-03-16 18:30:00,184.9499969482422
2018-03-16 19:30:00,185.02000427246094
2018-03-19 13:30:00,175.41000366210938
2018-03-19 14:30:00,173.17999267578125
2018-03-19 15:30:00,171.8258056640625
2018-03-19 16:30:00,172.39999389648438
2018-03-19 17:30:00,171.72000122070312
2018-03-19 18:30:00,171.48019409179688
2018-03-19 19:30:00,172.5500030517578
2018-03-20 13:30:00,167.47000122070312
2018-03-20 14:30:00,163.8699951171875
2018-03-20 15:30:00,165.71009826660156
2018-03-20 16:30:00,163.10000610351562
2018-03-20 17:30:00,165.16000366210938
2018-03-20 18:30:00,166.57000732421875
2018-03-20 19:30:00,168.24000549316406
2018-03-21 13:30:00,166.6199951171875
2018-03-21 14:30:00,170.27000427246094
2018-03-21 15:30:00,171.94000244140625
2018-03-21 16:30:00,171.94000244140625
2018-03-21 17:30:00,170.38999938964844
2018-03-21 18:30:00,168.62730407714844
