Datetime,INCY
2017-12-22 20:30:00,95.81999969482422
2017-12-26 14:30:00,95.80000305175781
2017-12-26 15:30:00,95.57230377197266
2017-12-26 16:30:00,95.43000030517578
2017-12-26 17:30:00,95.45999908447266
2017-12-26 18:30:00,95.38999938964844
2017-12-26 19:30:00,95.25
2017-12-26 20:30:00,95.43000030517578
2017-12-27 14:30:00,96.31999969482422
2017-12-27 15:30:00,96.5999984741211
2017-12-27 16:30:00,96.62999725341797
2017-12-27 17:30:00,96.56999969482422
2017-12-27 18:30:00,96.41999816894531
2017-12-27 19:30:00,96.4729995727539
2017-12-27 20:30:00,96.47000122070312
2017-12-28 14:30:00,94.4800033569336
2017-12-28 15:30:00,95.43000030517578
2017-12-28 16:30:00,95.37999725341797
2017-12-28 17:30:00,95.5
2017-12-28 18:30:00,95.47000122070312
2017-12-28 19:30:00,95.30999755859375
2017-12-28 20:30:00,95.38999938964844
2017-12-29 14:30:00,95.5
2017-12-29 15:30:00,95.45500183105469
2017-12-29 16:30:00,95.63999938964844
2017-12-29 17:30:00,95.47000122070312
2017-12-29 18:30:00,95.33000183105469
2017-12-29 19:30:00,95.30000305175781
2017-12-29 20:30:00,94.72000122070312
2018-01-02 14:30:00,99.38999938964844
2018-01-02 15:30:00,100.16000366210938
2018-01-02 16:30:00,100.83999633789062
2018-01-02 17:30:00,100.83999633789062
2018-01-02 18:30:00,101.11000061035156
2018-01-02 19:30:00,100.97000122070312
2018-01-02 20:30:00,100.87000274658203
2018-01-03 14:30:00,101.58999633789062
2018-01-03 15:30:00,101.80999755859375
2018-01-03 16:30:00,102.3499984741211
2018-01-03 17:30:00,102.31500244140625
2018-01-03 18:30:00,101.41999816894531
2018-01-03 19:30:00,101.01000213623047
2018-01-03 20:30:00,100.98500061035156
2018-01-04 14:30:00,99.22000122070312
2018-01-04 15:30:00,97.9801025390625
2018-01-04 16:30:00,97.93000030517578
2018-01-04 17:30:00,98.41999816894531
2018-01-04 18:30:00,98.20999908447266
2018-01-04 19:30:00,98.5999984741211
2018-01-04 20:30:00,98.45999908447266
2018-01-05 14:30:00,99.2300033569336
2018-01-05 15:30:00,99.88500213623047
2018-01-05 16:30:00,99.41999816894531
2018-01-05 17:30:00,99.5094985961914
2018-01-05 18:30:00,99.4000015258789
2018-01-05 19:30:00,99.5199966430664
2018-01-05 20:30:00,99.83000183105469
2018-01-08 14:30:00,99.03500366210938
2018-01-08 15:30:00,99.20999908447266
2018-01-08 16:30:00,99.93000030517578
