Datetime,ISRG
2017-12-04 18:30:00,380.1600036621094
2017-12-04 19:30:00,370.5299987792969
2017-12-04 20:30:00,370.0
2017-12-05 14:30:00,372.9700012207031
2017-12-05 15:30:00,373.010009765625
2017-12-05 16:30:00,371.6700134277344
2017-12-05 17:30:00,370.6199951171875
2017-12-05 18:30:00,369.2099914550781
2017-12-05 19:30:00,367.9700012207031
2017-12-05 20:30:00,369.5
2017-12-06 14:30:00,373.32000732421875
2017-12-06 15:30:00,374.0
2017-12-06 16:30:00,372.3800048828125
2017-12-06 17:30:00,372.9599914550781
2017-12-06 18:30:00,375.1600036621094
2017-12-06 19:30:00,379.3599853515625
2017-12-06 20:30:00,379.0899963378906
2017-12-07 14:30:00,380.55999755859375
2017-12-07 15:30:00,381.0
2017-12-07 16:30:00,382.44500732421875
