Datetime,BIDU
2017-12-04 18:30:00,231.76499938964844
2017-12-04 19:30:00,231.5800018310547
2017-12-04 20:30:00,229.55999755859375
2017-12-05 14:30:00,229.34500122070312
2017-12-05 15:30:00,233.50999450683594
2017-12-05 16:30:00,232.5500030517578
2017-12-05 17:30:00,232.36000061035156
2017-12-05 18:30:00,232.0
2017-12-05 19:30:00,232.72000122070312
2017-12-05 20:30:00,231.72999572753906
2017-12-06 14:30:00,229.02999877929688
2017-12-06 15:30:00,227.6199951171875
2017-12-06 16:30:00,228.94000244140625
2017-12-06 17:30:00,228.8800048828125
2017-12-06 18:30:00,231.3699951171875
2017-12-06 19:30:00,231.02000427246094
2017-12-06 20:30:00,231.16000366210938
2017-12-07 14:30:00,234.52999877929688
2017-12-07 15:30:00,235.24000549316406
