Datetime,SWKS
2017-12-04 18:30:00,99.05000305175781
2017-12-04 19:30:00,99.04000091552734
2017-12-04 20:30:00,98.26000213623047
2017-12-05 14:30:00,98.5
2017-12-05 15:30:00,98.98999786376953
2017-12-05 16:30:00,98.19999694824219
2017-12-05 17:30:00,98.20999908447266
2017-12-05 18:30:00,98.16999816894531
2017-12-05 19:30:00,97.8499984741211
2017-12-05 20:30:00,97.58999633789062
2017-12-06 14:30:00,95.69000244140625
2017-12-06 15:30:00,96.44999694824219
2017-12-06 16:30:00,96.33499908447266
2017-12-06 17:30:00,96.37000274658203
2017-12-06 18:30:00,96.94999694824219
2017-12-06 19:30:00,96.1500015258789
2017-12-06 20:30:00,96.4800033569336
2017-12-07 14:30:00,96.0999984741211
2017-12-07 15:30:00,95.83999633789062
