Datetime,NXPI
2017-12-04 18:30:00,114.04000091552734
2017-12-04 19:30:00,113.8499984741211
2017-12-04 20:30:00,113.91999816894531
2017-12-05 14:30:00,114.0
2017-12-05 15:30:00,114.08000183105469
2017-12-05 16:30:00,113.75
2017-12-05 17:30:00,114.04499816894531
2017-12-05 18:30:00,113.94499969482422
2017-12-05 19:30:00,113.6500015258789
2017-12-05 20:30:00,113.73999786376953
2017-12-06 14:30:00,114.4530029296875
2017-12-06 15:30:00,114.43000030517578
2017-12-06 16:30:00,114.2300033569336
2017-12-06 17:30:00,114.30000305175781
2017-12-06 18:30:00,114.37000274658203
2017-12-06 19:30:00,114.34500122070312
2017-12-06 20:30:00,114.33000183105469
2017-12-07 14:30:00,114.375
2017-12-07 15:30:00,114.51000213623047
2017-12-07 16:30:00,114.6500015258789
