Datetime,INTC
2017-12-04 17:30:00,44.58100128173828
2017-12-04 18:30:00,44.54499816894531
2017-12-04 19:30:00,44.5099983215332
2017-12-04 20:30:00,44.5
2017-12-05 14:30:00,44.25
2017-12-05 15:30:00,44.150001525878906
2017-12-05 16:30:00,43.77000045776367
2017-12-05 17:30:00,43.58000183105469
2017-12-05 18:30:00,43.595001220703125
2017-12-05 19:30:00,43.48500061035156
2017-12-05 20:30:00,43.41999816894531
2017-12-06 14:30:00,43.29999923706055
2017-12-06 15:30:00,43.2400016784668
2017-12-06 16:30:00,43.33000183105469
2017-12-06 17:30:00,43.40999984741211
2017-12-06 18:30:00,43.54990005493164
2017-12-06 19:30:00,43.400001525878906
2017-12-06 20:30:00,43.45000076293945
2017-12-07 14:30:00,42.93000030517578
