Datetime,NTAP
2017-12-04 18:30:00,56.939998626708984
2017-12-04 19:30:00,56.41999816894531
2017-12-04 20:30:00,55.91999816894531
2017-12-05 14:30:00,55.902801513671875
2017-12-05 15:30:00,56.290000915527344
2017-12-05 16:30:00,56.125
2017-12-05 17:30:00,56.279998779296875
2017-12-05 18:30:00,56.439998626708984
2017-12-05 19:30:00,56.14500045776367
2017-12-05 20:30:00,56.13999938964844
2017-12-06 14:30:00,56.70000076293945
2017-12-06 15:30:00,56.91999816894531
2017-12-06 16:30:00,56.900001525878906
2017-12-06 17:30:00,56.91999816894531
2017-12-06 18:30:00,57.150001525878906
2017-12-06 19:30:00,57.20000076293945
2017-12-06 20:30:00,57.209999084472656
2017-12-07 14:30:00,56.959999084472656
2017-12-07 15:30:00,56.97999954223633
