Datetime,CSX
2017-12-04 18:30:00,57.41999816894531
2017-12-04 19:30:00,57.2599983215332
2017-12-04 20:30:00,56.9900016784668
2017-12-05 14:30:00,56.27000045776367
2017-12-05 15:30:00,56.52000045776367
2017-12-05 16:30:00,56.36000061035156
2017-12-05 17:30:00,56.33000183105469
2017-12-05 18:30:00,56.16999816894531
2017-12-05 19:30:00,56.0
2017-12-05 20:30:00,55.790000915527344
2017-12-06 14:30:00,55.79999923706055
2017-12-06 15:30:00,56.130001068115234
2017-12-06 16:30:00,56.0
2017-12-06 17:30:00,56.099998474121094
2017-12-06 18:30:00,55.8849983215332
2017-12-06 19:30:00,55.84000015258789
2017-12-06 20:30:00,55.63999938964844
2017-12-07 14:30:00,56.119998931884766
2017-12-07 15:30:00,56.18000030517578
