Datetime,ILMN
2017-12-04 17:30:00,219.1699981689453
2017-12-04 18:30:00,214.27000427246094
2017-12-04 19:30:00,214.16000366210938
2017-12-04 20:30:00,213.39999389648438
2017-12-05 14:30:00,214.49000549316406
2017-12-05 15:30:00,214.22999572753906
2017-12-05 16:30:00,212.6649932861328
2017-12-05 17:30:00,212.44000244140625
2017-12-05 18:30:00,211.46060180664062
2017-12-05 19:30:00,210.4300994873047
2017-12-05 20:30:00,211.11000061035156
2017-12-06 14:30:00,212.64999389648438
2017-12-06 15:30:00,212.1300048828125
2017-12-06 16:30:00,211.4199981689453
2017-12-06 17:30:00,210.9199981689453
2017-12-06 18:30:00,213.00999450683594
2017-12-06 19:30:00,213.75
2017-12-06 20:30:00,213.9600067138672
2017-12-07 14:30:00,213.44000244140625
2017-12-07 15:30:00,214.61000061035156
