Datetime,NFLX
2017-12-05 18:30:00,185.57000732421875
2017-12-05 19:30:00,184.89939880371094
2017-12-05 20:30:00,184.2100067138672
2017-12-06 14:30:00,184.84219360351562
2017-12-06 15:30:00,183.0
2017-12-06 16:30:00,183.22999572753906
2017-12-06 17:30:00,183.55050659179688
2017-12-06 18:30:00,185.39999389648438
2017-12-06 19:30:00,186.08900451660156
2017-12-06 20:30:00,185.3000030517578
2017-12-07 14:30:00,185.19000244140625
2017-12-07 15:30:00,185.5500030517578
2017-12-07 16:30:00,186.50999450683594
2017-12-07 17:30:00,186.4600067138672
2017-12-07 18:30:00,185.30999755859375
2017-12-07 19:30:00,184.9199981689453
2017-12-07 20:30:00,185.2100067138672
2017-12-08 14:30:00,187.6439971923828
2017-12-08 15:30:00,187.97000122070312
2017-12-08 16:30:00,189.07139587402344
