Datetime,AMAT
2017-12-04 17:30:00,50.34000015258789
2017-12-04 18:30:00,50.099998474121094
2017-12-04 19:30:00,49.86000061035156
2017-12-04 20:30:00,49.77000045776367
2017-12-05 14:30:00,50.619998931884766
2017-12-05 15:30:00,51.619998931884766
2017-12-05 16:30:00,50.84000015258789
2017-12-05 17:30:00,50.53340148925781
2017-12-05 18:30:00,50.29999923706055
2017-12-05 19:30:00,50.189998626708984
2017-12-05 20:30:00,50.060001373291016
2017-12-06 14:30:00,49.78499984741211
2017-12-06 15:30:00,50.2400016784668
2017-12-06 16:30:00,50.13999938964844
2017-12-06 17:30:00,50.636600494384766
2017-12-06 18:30:00,50.869998931884766
2017-12-06 19:30:00,51.03990173339844
2017-12-06 20:30:00,51.0099983215332
2017-12-07 14:30:00,52.0
