Datetime,COST
2017-12-04 18:30:00,189.26719665527344
2017-12-04 19:30:00,189.5500030517578
2017-12-04 20:30:00,189.5500030517578
2017-12-05 14:30:00,189.33999633789062
2017-12-05 15:30:00,189.75
2017-12-05 16:30:00,188.91000366210938
2017-12-05 17:30:00,188.98849487304688
2017-12-05 18:30:00,188.79550170898438
2017-12-05 19:30:00,187.5
2017-12-05 20:30:00,187.82000732421875
2017-12-06 14:30:00,185.7899932861328
2017-12-06 15:30:00,186.27999877929688
2017-12-06 16:30:00,186.7200927734375
2017-12-06 17:30:00,187.3800048828125
2017-12-06 18:30:00,187.30999755859375
2017-12-06 19:30:00,187.0050048828125
2017-12-06 20:30:00,187.22999572753906
2017-12-07 14:30:00,187.0749969482422
2017-12-07 15:30:00,186.35000610351562
2017-12-07 16:30:00,186.38499450683594
