Datetime,FOXA
2017-12-04 17:30:00,33.38999938964844
2017-12-04 18:30:00,33.435001373291016
2017-12-04 19:30:00,33.40999984741211
2017-12-04 20:30:00,33.06999969482422
2017-12-05 14:30:00,33.88999938964844
2017-12-05 15:30:00,33.689998626708984
2017-12-05 16:30:00,33.529998779296875
2017-12-05 17:30:00,33.59000015258789
2017-12-05 18:30:00,33.08000183105469
2017-12-05 19:30:00,33.25
2017-12-05 20:30:00,33.0
2017-12-06 14:30:00,33.0
2017-12-06 15:30:00,33.150001525878906
2017-12-06 16:30:00,33.20000076293945
2017-12-06 17:30:00,33.20000076293945
2017-12-06 18:30:00,33.380001068115234
2017-12-06 19:30:00,33.349998474121094
2017-12-06 20:30:00,33.209999084472656
2017-12-07 14:30:00,34.150001525878906
