Datetime,MAR
2018-02-06 18:30:00,136.86000061035156
2018-02-06 19:30:00,139.2949981689453
2018-02-06 20:30:00,140.0399932861328
2018-02-07 14:30:00,140.0
2018-02-07 15:30:00,142.55999755859375
2018-02-07 16:30:00,142.16000366210938
2018-02-07 17:30:00,140.11000061035156
2018-02-07 18:30:00,140.57000732421875
2018-02-07 19:30:00,140.83999633789062
2018-02-07 20:30:00,139.69000244140625
2018-02-08 14:30:00,138.0
2018-02-08 15:30:00,136.5399932861328
2018-02-08 16:30:00,136.4600067138672
2018-02-08 17:30:00,136.5500030517578
2018-02-08 18:30:00,136.4600067138672
2018-02-08 19:30:00,136.25999450683594
2018-02-08 20:30:00,133.8800048828125
2018-02-09 14:30:00,135.1699981689453
2018-02-09 15:30:00,134.13999938964844
2018-02-09 16:30:00,132.8300018310547
2018-02-09 17:30:00,131.72000122070312
2018-02-09 18:30:00,134.39999389648438
2018-02-09 19:30:00,135.0399932861328
2018-02-09 20:30:00,136.22000122070312
2018-02-12 14:30:00,137.67999267578125
2018-02-12 15:30:00,138.6699981689453
2018-02-12 16:30:00,138.97000122070312
2018-02-12 17:30:00,138.72999572753906
2018-02-12 18:30:00,139.47999572753906
2018-02-12 19:30:00,139.69000244140625
2018-02-12 20:30:00,139.11000061035156
2018-02-13 14:30:00,139.47000122070312
2018-02-13 15:30:00,139.30999755859375
2018-02-13 16:30:00,139.4199981689453
2018-02-13 17:30:00,139.99000549316406
2018-02-13 18:30:00,140.75
2018-02-13 19:30:00,140.80999755859375
2018-02-13 20:30:00,140.64999389648438
2018-02-14 14:30:00,141.35000610351562
2018-02-14 15:30:00,142.76499938964844
2018-02-14 16:30:00,142.33999633789062
2018-02-14 17:30:00,144.0800018310547
2018-02-14 18:30:00,144.11000061035156
2018-02-14 19:30:00,145.1699981689453
2018-02-14 20:30:00,145.25
2018-02-15 14:30:00,144.3000030517578
2018-02-15 15:30:00,142.625
2018-02-15 16:30:00,142.1999969482422
2018-02-15 17:30:00,141.39999389648438
2018-02-15 18:30:00,141.3000030517578
2018-02-15 19:30:00,141.61000061035156
2018-02-15 20:30:00,141.27999877929688
2018-02-16 14:30:00,140.0
2018-02-16 15:30:00,139.86000061035156
2018-02-16 16:30:00,140.0
2018-02-16 17:30:00,139.4199981689453
2018-02-16 18:30:00,139.4550018310547
2018-02-16 19:30:00,139.1199951171875
2018-02-16 20:30:00,138.50999450683594
2018-02-20 14:30:00,139.6300048828125
2018-02-20 15:30:00,140.63999938964844
2018-02-20 16:30:00,140.52999877929688
2018-02-20 17:30:00,140.09500122070312
2018-02-20 18:30:00,140.4499969482422
2018-02-20 19:30:00,140.17999267578125
2018-02-20 20:30:00,140.4199981689453
2018-02-21 14:30:00,143.1999969482422
2018-02-21 15:30:00,144.2050018310547
2018-02-21 16:30:00,143.50999450683594
2018-02-21 17:30:00,143.47999572753906
2018-02-21 18:30:00,143.49000549316406
2018-02-21 19:30:00,142.75
2018-02-21 20:30:00,141.99000549316406
2018-02-22 14:30:00,141.25
2018-02-22 15:30:00,142.41000366210938
2018-02-22 16:30:00,142.154296875
2018-02-22 17:30:00,141.27999877929688
2018-02-22 18:30:00,141.4199981689453
2018-02-22 19:30:00,140.94000244140625
2018-02-22 20:30:00,140.60000610351562
2018-02-23 14:30:00,140.8350067138672
2018-02-23 15:30:00,141.17999267578125
2018-02-23 16:30:00,140.9600067138672
2018-02-23 17:30:00,141.41000366210938
2018-02-23 18:30:00,141.19000244140625
2018-02-23 19:30:00,141.86000061035156
2018-02-23 20:30:00,142.1699981689453
2018-02-26 14:30:00,142.13999938964844
2018-02-26 15:30:00,142.1699981689453
