Datetime,ESRX
2017-12-04 18:30:00,67.5199966430664
2017-12-04 19:30:00,68.11000061035156
2017-12-04 20:30:00,68.16000366210938
2017-12-05 14:30:00,67.30999755859375
2017-12-05 15:30:00,66.9800033569336
2017-12-05 16:30:00,67.52999877929688
2017-12-05 17:30:00,67.73999786376953
2017-12-05 18:30:00,67.87999725341797
2017-12-05 19:30:00,68.0
2017-12-05 20:30:00,67.8499984741211
2017-12-06 14:30:00,68.1449966430664
2017-12-06 15:30:00,68.01000213623047
2017-12-06 16:30:00,68.20999908447266
2017-12-06 17:30:00,68.69999694824219
2017-12-06 18:30:00,68.61000061035156
2017-12-06 19:30:00,68.58000183105469
2017-12-06 20:30:00,68.58000183105469
2017-12-07 14:30:00,67.92500305175781
2017-12-07 15:30:00,67.83999633789062
