Datetime,JD
2017-12-04 17:30:00,37.16999816894531
2017-12-04 18:30:00,37.029998779296875
2017-12-04 19:30:00,36.970001220703125
2017-12-04 20:30:00,36.755001068115234
2017-12-05 14:30:00,37.040000915527344
2017-12-05 15:30:00,37.47999954223633
2017-12-05 16:30:00,37.564998626708984
2017-12-05 17:30:00,37.38999938964844
2017-12-05 18:30:00,37.28499984741211
2017-12-05 19:30:00,37.45000076293945
2017-12-05 20:30:00,37.30889892578125
2017-12-06 14:30:00,37.1411018371582
2017-12-06 15:30:00,36.9900016784668
2017-12-06 16:30:00,37.0
2017-12-06 17:30:00,37.029998779296875
2017-12-06 18:30:00,37.400001525878906
2017-12-06 19:30:00,37.64500045776367
2017-12-06 20:30:00,37.810001373291016
2017-12-07 14:30:00,38.029998779296875
