Datetime,ADSK
2018-05-25 19:30:00,132.75
2018-05-29 13:30:00,129.97500610351562
2018-05-29 14:30:00,130.82000732421875
2018-05-29 15:30:00,129.4199981689453
2018-05-29 16:30:00,129.9199981689453
2018-05-29 17:30:00,129.50999450683594
2018-05-29 18:30:00,128.4499969482422
2018-05-29 19:30:00,129.63999938964844
2018-05-30 13:30:00,130.80999755859375
2018-05-30 14:30:00,131.75999450683594
2018-05-30 15:30:00,131.30999755859375
2018-05-30 16:30:00,130.5399932861328
2018-05-30 17:30:00,129.9199981689453
2018-05-30 18:30:00,129.5399932861328
2018-05-30 19:30:00,129.36000061035156
2018-05-31 13:30:00,130.24000549316406
2018-05-31 14:30:00,129.63999938964844
2018-05-31 15:30:00,130.17999267578125
2018-05-31 16:30:00,129.97000122070312
2018-05-31 17:30:00,129.24000549316406
2018-05-31 18:30:00,129.43499755859375
2018-05-31 19:30:00,129.0500030517578
2018-06-01 13:30:00,131.30999755859375
2018-06-01 14:30:00,131.9149932861328
2018-06-01 15:30:00,133.02000427246094
2018-06-01 16:30:00,132.3300018310547
2018-06-01 17:30:00,133.0399932861328
2018-06-01 18:30:00,132.97999572753906
2018-06-01 19:30:00,133.6199951171875
2018-06-04 13:30:00,132.60000610351562
2018-06-04 14:30:00,133.33999633789062
2018-06-04 15:30:00,134.0500030517578
2018-06-04 16:30:00,133.97999572753906
2018-06-04 17:30:00,134.67999267578125
2018-06-04 18:30:00,135.1199951171875
2018-06-04 19:30:00,135.58999633789062
2018-06-05 13:30:00,137.625
2018-06-05 14:30:00,136.88999938964844
2018-06-05 15:30:00,136.00999450683594
2018-06-05 16:30:00,136.4199981689453
2018-06-05 17:30:00,136.3249969482422
2018-06-05 18:30:00,136.6999969482422
2018-06-05 19:30:00,136.7899932861328
2018-06-06 13:30:00,136.11000061035156
2018-06-06 14:30:00,136.49000549316406
2018-06-06 15:30:00,136.57000732421875
2018-06-06 16:30:00,136.02999877929688
2018-06-06 17:30:00,136.6699981689453
2018-06-06 18:30:00,137.14999389648438
2018-06-06 19:30:00,137.9199981689453
2018-06-07 13:30:00,135.80499267578125
2018-06-07 14:30:00,134.1300048828125
2018-06-07 15:30:00,134.27999877929688
2018-06-07 16:30:00,133.0800018310547
2018-06-07 17:30:00,133.41000366210938
2018-06-07 18:30:00,134.4199981689453
2018-06-07 19:30:00,134.13999938964844
2018-06-08 13:30:00,134.3300018310547
2018-06-08 14:30:00,134.25
2018-06-08 15:30:00,134.44000244140625
2018-06-08 16:30:00,134.7899932861328
2018-06-08 17:30:00,134.97000122070312
2018-06-08 18:30:00,135.02999877929688
2018-06-08 19:30:00,135.1300048828125
2018-06-11 13:30:00,135.10000610351562
2018-06-11 14:30:00,135.44000244140625
2018-06-11 15:30:00,136.08999633789062
2018-06-11 16:30:00,135.77999877929688
2018-06-11 17:30:00,136.02099609375
2018-06-11 18:30:00,135.97000122070312
2018-06-11 19:30:00,135.97000122070312
2018-06-12 13:30:00,137.17999267578125
2018-06-12 14:30:00,137.36000061035156
2018-06-12 15:30:00,137.27999877929688
2018-06-12 16:30:00,136.83999633789062
2018-06-12 17:30:00,136.4949951171875
2018-06-12 18:30:00,136.89999389648438
2018-06-12 19:30:00,137.33999633789062
2018-06-13 13:30:00,138.4199981689453
2018-06-13 14:30:00,138.57000732421875
2018-06-13 15:30:00,137.88999938964844
2018-06-13 16:30:00,137.6699981689453
2018-06-13 17:30:00,137.0
2018-06-13 18:30:00,137.6699981689453
2018-06-13 19:30:00,137.16000366210938
2018-06-14 13:30:00,139.40499877929688
2018-06-14 14:30:00,139.02999877929688
2018-06-14 15:30:00,139.1300048828125
2018-06-14 16:30:00,139.08999633789062
2018-06-14 17:30:00,138.75999450683594
2018-06-14 18:30:00,138.3699951171875
2018-06-14 19:30:00,138.41000366210938
2018-06-15 13:30:00,137.82000732421875
2018-06-15 14:30:00,138.02999877929688
2018-06-15 15:30:00,137.5500030517578
2018-06-15 16:30:00,137.8000030517578
2018-06-15 17:30:00,138.25
2018-06-15 18:30:00,138.00999450683594
2018-06-15 19:30:00,137.99000549316406
2018-06-18 13:30:00,139.61000061035156
2018-06-18 14:30:00,140.77999877929688
2018-06-18 15:30:00,141.22000122070312
2018-06-18 16:30:00,142.2100067138672
2018-06-18 17:30:00,141.3699951171875
2018-06-18 18:30:00,141.47000122070312
2018-06-18 19:30:00,141.25
2018-06-19 13:30:00,138.66439819335938
2018-06-19 14:30:00,139.89999389648438
2018-06-19 15:30:00,141.08999633789062
2018-06-19 16:30:00,140.77999877929688
2018-06-19 17:30:00,140.75
2018-06-19 18:30:00,140.52000427246094
2018-06-19 19:30:00,141.0399932861328
2018-06-20 13:30:00,141.34500122070312
2018-06-20 14:30:00,142.36000061035156
2018-06-20 15:30:00,142.38999938964844
2018-06-20 16:30:00,142.49000549316406
2018-06-20 17:30:00,142.44000244140625
2018-06-20 18:30:00,141.75999450683594
2018-06-20 19:30:00,140.9600067138672
2018-06-21 13:30:00,138.32000732421875
2018-06-21 14:30:00,138.30999755859375
2018-06-21 15:30:00,138.13999938964844
2018-06-21 16:30:00,137.85000610351562
2018-06-21 17:30:00,138.0
2018-06-21 18:30:00,138.19000244140625
2018-06-21 19:30:00,137.72999572753906
2018-06-22 13:30:00,134.8300018310547
2018-06-22 14:30:00,135.3350067138672
2018-06-22 15:30:00,135.97000122070312
2018-06-22 16:30:00,136.77000427246094
2018-06-22 17:30:00,136.3809051513672
2018-06-22 18:30:00,136.67999267578125
2018-06-22 19:30:00,136.5
2018-06-25 13:30:00,131.19000244140625
2018-06-25 14:30:00,130.2050018310547
2018-06-25 15:30:00,130.33999633789062
2018-06-25 16:30:00,129.7899932861328
2018-06-25 17:30:00,128.94000244140625
2018-06-25 18:30:00,128.9600067138672
2018-06-25 19:30:00,129.75999450683594
2018-06-26 13:30:00,130.02999877929688
2018-06-26 14:30:00,129.52999877929688
2018-06-26 15:30:00,130.58999633789062
2018-06-26 16:30:00,130.91000366210938
2018-06-26 17:30:00,130.76499938964844
2018-06-26 18:30:00,130.10000610351562
2018-06-26 19:30:00,130.1999969482422
2018-06-27 13:30:00,129.60000610351562
2018-06-27 14:30:00,128.60000610351562
2018-06-27 15:30:00,128.85000610351562
2018-06-27 16:30:00,127.26000213623047
2018-06-27 17:30:00,127.63520050048828
2018-06-27 18:30:00,128.05999755859375
2018-06-27 19:30:00,127.61000061035156
2018-06-28 13:30:00,127.62000274658203
2018-06-28 14:30:00,128.5
2018-06-28 15:30:00,128.17999267578125
2018-06-28 16:30:00,129.3300018310547
2018-06-28 17:30:00,129.99000549316406
2018-06-28 18:30:00,130.30999755859375
2018-06-28 19:30:00,130.25
2018-06-29 13:30:00,131.6999969482422
2018-06-29 14:30:00,131.86000061035156
2018-06-29 15:30:00,131.3000030517578
2018-06-29 16:30:00,131.47999572753906
2018-06-29 17:30:00,131.6999969482422
2018-06-29 18:30:00,131.49000549316406
2018-06-29 19:30:00,131.10000610351562
2018-07-02 13:30:00,131.02000427246094
2018-07-02 14:30:00,130.6300048828125
2018-07-02 15:30:00,130.67999267578125
2018-07-02 16:30:00,130.52999877929688
2018-07-02 17:30:00,131.42999267578125
2018-07-02 18:30:00,131.36000061035156
2018-07-02 19:30:00,131.8699951171875
2018-07-03 13:30:00,132.7899932861328
2018-07-03 14:30:00,131.89999389648438
2018-07-03 15:30:00,131.8300018310547
2018-07-03 17:00:00,132.02389526367188
2018-07-05 13:30:00,131.6300048828125
2018-07-05 14:30:00,132.36000061035156
2018-07-05 15:30:00,132.4499969482422
2018-07-05 16:30:00,132.91000366210938
2018-07-05 17:30:00,132.75999450683594
2018-07-05 18:30:00,132.75
2018-07-05 19:30:00,132.80999755859375
2018-07-06 13:30:00,133.7100067138672
2018-07-06 14:30:00,134.4499969482422
2018-07-06 15:30:00,135.22000122070312
2018-07-06 16:30:00,135.07000732421875
2018-07-06 17:30:00,135.1300048828125
2018-07-06 18:30:00,135.38999938964844
2018-07-06 19:30:00,135.11000061035156
2018-07-09 13:30:00,133.75
2018-07-09 14:30:00,134.83999633789062
2018-07-09 15:30:00,134.6999969482422
2018-07-09 16:30:00,134.66000366210938
2018-07-09 17:30:00,134.75999450683594
2018-07-09 18:30:00,134.77000427246094
2018-07-09 19:30:00,134.9499969482422
2018-07-10 13:30:00,135.52999877929688
2018-07-10 14:30:00,135.8300018310547
2018-07-10 15:30:00,135.67999267578125
2018-07-10 16:30:00,134.72000122070312
2018-07-10 17:30:00,134.27000427246094
2018-07-10 18:30:00,134.52999877929688
2018-07-10 19:30:00,134.3699951171875
2018-07-11 13:30:00,133.3300018310547
2018-07-11 14:30:00,131.85000610351562
2018-07-11 15:30:00,132.32000732421875
2018-07-11 16:30:00,132.4600067138672
2018-07-11 17:30:00,132.33999633789062
2018-07-11 18:30:00,132.3300018310547
2018-07-11 19:30:00,132.22999572753906
2018-07-12 13:30:00,134.3643035888672
2018-07-12 14:30:00,135.5399932861328
2018-07-12 15:30:00,136.5399932861328
2018-07-12 16:30:00,137.42999267578125
2018-07-12 17:30:00,137.43499755859375
2018-07-12 18:30:00,137.41000366210938
2018-07-12 19:30:00,137.4600067138672
2018-07-13 13:30:00,136.36000061035156
2018-07-13 14:30:00,136.72000122070312
2018-07-13 15:30:00,136.57000732421875
2018-07-13 16:30:00,136.8300018310547
2018-07-13 17:30:00,136.5800018310547
2018-07-13 18:30:00,136.97999572753906
2018-07-13 19:30:00,137.1999969482422
2018-07-16 13:30:00,136.4600067138672
2018-07-16 14:30:00,136.11000061035156
2018-07-16 15:30:00,136.6699981689453
2018-07-16 16:30:00,136.1300048828125
2018-07-16 17:30:00,136.3000030517578
2018-07-16 18:30:00,135.9600067138672
2018-07-16 19:30:00,136.24000549316406
2018-07-17 13:30:00,135.44000244140625
2018-07-17 14:30:00,135.8300018310547
2018-07-17 15:30:00,136.9499969482422
2018-07-17 16:30:00,137.22999572753906
2018-07-17 17:30:00,136.50999450683594
