Datetime,CA
2017-12-04 17:30:00,33.525001525878906
2017-12-04 18:30:00,33.45500183105469
2017-12-04 19:30:00,33.48500061035156
2017-12-04 20:30:00,33.279998779296875
2017-12-05 14:30:00,33.40999984741211
2017-12-05 15:30:00,33.43000030517578
2017-12-05 16:30:00,33.349998474121094
2017-12-05 17:30:00,33.31999969482422
2017-12-05 18:30:00,33.36000061035156
2017-12-05 19:30:00,33.310001373291016
2017-12-05 20:30:00,33.22999954223633
2017-12-06 14:30:00,33.290000915527344
2017-12-06 15:30:00,33.38999938964844
2017-12-06 16:30:00,33.36000061035156
2017-12-06 17:30:00,33.25
2017-12-06 18:30:00,33.2599983215332
2017-12-06 19:30:00,33.33000183105469
2017-12-06 20:30:00,33.310001373291016
2017-12-07 14:30:00,33.08000183105469
