Datetime,MU
2017-12-04 17:30:00,40.64500045776367
2017-12-04 18:30:00,40.52000045776367
2017-12-04 19:30:00,40.070098876953125
2017-12-04 20:30:00,39.90999984741211
2017-12-05 14:30:00,41.57500076293945
2017-12-05 15:30:00,41.720001220703125
2017-12-05 16:30:00,41.67499923706055
2017-12-05 17:30:00,41.459999084472656
2017-12-05 18:30:00,41.510101318359375
2017-12-05 19:30:00,41.404998779296875
2017-12-05 20:30:00,41.21009826660156
2017-12-06 14:30:00,41.04999923706055
2017-12-06 15:30:00,40.97999954223633
2017-12-06 16:30:00,40.869998931884766
2017-12-06 17:30:00,41.020999908447266
2017-12-06 18:30:00,41.470001220703125
2017-12-06 19:30:00,41.61000061035156
2017-12-06 20:30:00,41.58000183105469
2017-12-07 14:30:00,42.790000915527344
