Datetime,SYMC
2017-12-04 17:30:00,27.78499984741211
2017-12-04 18:30:00,27.700000762939453
2017-12-04 19:30:00,27.899999618530273
2017-12-04 20:30:00,27.75
2017-12-05 14:30:00,27.950000762939453
2017-12-05 15:30:00,27.8612003326416
2017-12-05 16:30:00,27.674999237060547
2017-12-05 17:30:00,27.6200008392334
2017-12-05 18:30:00,27.600000381469727
2017-12-05 19:30:00,27.635000228881836
2017-12-05 20:30:00,27.440000534057617
2017-12-06 14:30:00,27.40999984741211
2017-12-06 15:30:00,27.3700008392334
2017-12-06 16:30:00,27.325000762939453
2017-12-06 17:30:00,27.31999969482422
2017-12-06 18:30:00,27.465900421142578
2017-12-06 19:30:00,27.440000534057617
2017-12-06 20:30:00,27.364999771118164
2017-12-07 14:30:00,27.450000762939453
