Datetime,EA
2018-03-20 15:30:00,127.38999938964844
2018-03-20 16:30:00,126.83999633789062
2018-03-20 17:30:00,127.57499694824219
2018-03-20 18:30:00,127.23999786376953
2018-03-20 19:30:00,126.86000061035156
2018-03-21 13:30:00,126.80500030517578
2018-03-21 14:30:00,126.58499908447266
2018-03-21 15:30:00,126.94000244140625
2018-03-21 16:30:00,126.69000244140625
2018-03-21 17:30:00,127.05999755859375
2018-03-21 18:30:00,126.51000213623047
2018-03-21 19:30:00,126.0
2018-03-22 13:30:00,124.77999877929688
2018-03-22 14:30:00,123.93000030517578
2018-03-22 15:30:00,124.37000274658203
2018-03-22 16:30:00,124.56999969482422
2018-03-22 17:30:00,123.55999755859375
2018-03-22 18:30:00,123.37000274658203
2018-03-22 19:30:00,122.97000122070312
2018-03-23 13:30:00,124.12000274658203
2018-03-23 14:30:00,124.4000015258789
2018-03-23 15:30:00,123.37000274658203
2018-03-23 16:30:00,123.81999969482422
2018-03-23 17:30:00,123.6500015258789
2018-03-23 18:30:00,122.16999816894531
2018-03-23 19:30:00,121.44000244140625
2018-03-26 13:30:00,123.93000030517578
2018-03-26 14:30:00,123.66999816894531
2018-03-26 15:30:00,124.98999786376953
2018-03-26 16:30:00,125.27999877929688
2018-03-26 17:30:00,126.0
2018-03-26 18:30:00,125.8499984741211
2018-03-26 19:30:00,126.44999694824219
2018-03-27 13:30:00,124.80000305175781
2018-03-27 14:30:00,124.30000305175781
2018-03-27 15:30:00,124.05999755859375
2018-03-27 16:30:00,123.77999877929688
2018-03-27 17:30:00,121.47000122070312
2018-03-27 18:30:00,120.19000244140625
2018-03-27 19:30:00,119.9800033569336
2018-03-28 13:30:00,119.21749877929688
2018-03-28 14:30:00,118.77999877929688
2018-03-28 15:30:00,120.16000366210938
2018-03-28 16:30:00,120.02999877929688
2018-03-28 17:30:00,119.66999816894531
2018-03-28 18:30:00,120.3499984741211
2018-03-28 19:30:00,119.3499984741211
2018-03-29 13:30:00,119.16999816894531
2018-03-29 14:30:00,120.19000244140625
2018-03-29 15:30:00,120.2699966430664
2018-03-29 16:30:00,121.45999908447266
2018-03-29 17:30:00,122.38999938964844
2018-03-29 18:30:00,122.05000305175781
2018-03-29 19:30:00,121.23999786376953
2018-04-02 13:30:00,119.2699966430664
2018-04-02 14:30:00,119.05000305175781
2018-04-02 15:30:00,118.56999969482422
2018-04-02 16:30:00,118.0
2018-04-02 17:30:00,117.27999877929688
2018-04-02 18:30:00,118.11000061035156
2018-04-02 19:30:00,118.72000122070312
2018-04-03 13:30:00,119.27999877929688
2018-04-03 14:30:00,120.05000305175781
2018-04-03 15:30:00,118.70999908447266
2018-04-03 16:30:00,118.73999786376953
2018-04-03 17:30:00,118.1449966430664
2018-04-03 18:30:00,119.58999633789062
2018-04-03 19:30:00,119.54000091552734
2018-04-04 13:30:00,117.18000030517578
2018-04-04 14:30:00,117.7699966430664
2018-04-04 15:30:00,118.2300033569336
2018-04-04 16:30:00,117.30999755859375
2018-04-04 17:30:00,118.77999877929688
2018-04-04 18:30:00,119.76000213623047
2018-04-04 19:30:00,120.0999984741211
2018-04-05 13:30:00,121.00499725341797
2018-04-05 14:30:00,121.88999938964844
2018-04-05 15:30:00,121.41999816894531
2018-04-05 16:30:00,121.37999725341797
2018-04-05 17:30:00,121.375
2018-04-05 18:30:00,121.41999816894531
2018-04-05 19:30:00,121.21900177001953
2018-04-06 13:30:00,120.56999969482422
2018-04-06 14:30:00,120.3499984741211
2018-04-06 15:30:00,120.23999786376953
2018-04-06 16:30:00,120.33000183105469
2018-04-06 17:30:00,118.26000213623047
2018-04-06 18:30:00,117.9749984741211
2018-04-06 19:30:00,118.31999969482422
2018-04-09 13:30:00,119.06999969482422
2018-04-09 14:30:00,120.18000030517578
2018-04-09 15:30:00,120.6500015258789
2018-04-09 16:30:00,120.66999816894531
2018-04-09 17:30:00,119.98999786376953
2018-04-09 18:30:00,119.6500015258789
2018-04-09 19:30:00,118.83999633789062
2018-04-10 13:30:00,119.0999984741211
2018-04-10 14:30:00,119.0
2018-04-10 15:30:00,118.44999694824219
2018-04-10 16:30:00,119.91999816894531
2018-04-10 17:30:00,120.12000274658203
2018-04-10 18:30:00,120.93000030517578
2018-04-10 19:30:00,120.70999908447266
2018-04-11 13:30:00,120.3499984741211
2018-04-11 14:30:00,119.5999984741211
2018-04-11 15:30:00,120.04000091552734
2018-04-11 16:30:00,119.47000122070312
2018-04-11 17:30:00,118.95999908447266
2018-04-11 18:30:00,118.51000213623047
2018-04-11 19:30:00,118.76000213623047
2018-04-12 13:30:00,120.73999786376953
2018-04-12 14:30:00,120.93000030517578
2018-04-12 15:30:00,120.68000030517578
2018-04-12 16:30:00,120.44999694824219
2018-04-12 17:30:00,120.95999908447266
2018-04-12 18:30:00,121.43000030517578
2018-04-12 19:30:00,121.08000183105469
2018-04-13 13:30:00,120.19999694824219
2018-04-13 14:30:00,120.33000183105469
2018-04-13 15:30:00,120.19999694824219
2018-04-13 16:30:00,120.70999908447266
2018-04-13 17:30:00,120.94999694824219
2018-04-13 18:30:00,120.26000213623047
2018-04-13 19:30:00,120.54000091552734
2018-04-16 13:30:00,122.4800033569336
2018-04-16 14:30:00,121.68000030517578
2018-04-16 15:30:00,122.2699966430664
2018-04-16 16:30:00,122.51000213623047
2018-04-16 17:30:00,122.41000366210938
2018-04-16 18:30:00,122.13999938964844
2018-04-16 19:30:00,122.22000122070312
2018-04-17 13:30:00,123.2699966430664
2018-04-17 14:30:00,123.97000122070312
2018-04-17 15:30:00,124.08000183105469
2018-04-17 16:30:00,124.30000305175781
2018-04-17 17:30:00,124.20999908447266
2018-04-17 18:30:00,124.68000030517578
2018-04-17 19:30:00,124.30999755859375
2018-04-18 13:30:00,124.81999969482422
2018-04-18 14:30:00,124.63999938964844
2018-04-18 15:30:00,125.01000213623047
2018-04-18 16:30:00,124.73999786376953
2018-04-18 17:30:00,125.02999877929688
2018-04-18 18:30:00,124.94000244140625
2018-04-18 19:30:00,124.91000366210938
2018-04-19 13:30:00,125.20999908447266
2018-04-19 14:30:00,124.97000122070312
2018-04-19 15:30:00,124.38999938964844
2018-04-19 16:30:00,124.16000366210938
2018-04-19 17:30:00,123.68000030517578
2018-04-19 18:30:00,122.37999725341797
2018-04-19 19:30:00,123.11000061035156
2018-04-20 13:30:00,122.01000213623047
2018-04-20 14:30:00,120.76499938964844
2018-04-20 15:30:00,120.5199966430664
2018-04-20 16:30:00,120.73999786376953
2018-04-20 17:30:00,120.3499984741211
2018-04-20 18:30:00,120.37999725341797
2018-04-20 19:30:00,120.9000015258789
2018-04-23 13:30:00,120.80000305175781
2018-04-23 14:30:00,121.45500183105469
2018-04-23 15:30:00,120.69999694824219
2018-04-23 16:30:00,120.06999969482422
2018-04-23 17:30:00,119.65499877929688
2018-04-23 18:30:00,119.8499984741211
2018-04-23 19:30:00,119.58999633789062
2018-04-24 13:30:00,120.25
2018-04-24 14:30:00,120.20999908447266
2018-04-24 15:30:00,118.88999938964844
2018-04-24 16:30:00,117.87999725341797
2018-04-24 17:30:00,117.44000244140625
2018-04-24 18:30:00,118.16000366210938
2018-04-24 19:30:00,118.55000305175781
2018-04-25 13:30:00,116.5999984741211
2018-04-25 14:30:00,118.0
2018-04-25 15:30:00,117.27999877929688
2018-04-25 16:30:00,117.2699966430664
2018-04-25 17:30:00,117.02999877929688
2018-04-25 18:30:00,116.94499969482422
2018-04-25 19:30:00,116.63999938964844
2018-04-26 13:30:00,118.69999694824219
2018-04-26 14:30:00,119.06999969482422
2018-04-26 15:30:00,119.76000213623047
2018-04-26 16:30:00,119.6050033569336
2018-04-26 17:30:00,119.70500183105469
2018-04-26 18:30:00,119.66000366210938
2018-04-26 19:30:00,119.58000183105469
2018-04-27 13:30:00,116.75
2018-04-27 14:30:00,117.52999877929688
2018-04-27 15:30:00,117.04000091552734
2018-04-27 16:30:00,117.12000274658203
2018-04-27 17:30:00,116.91999816894531
2018-04-27 18:30:00,117.19000244140625
2018-04-27 19:30:00,117.45999908447266
2018-04-30 13:30:00,117.75499725341797
2018-04-30 14:30:00,117.1500015258789
2018-04-30 15:30:00,116.80000305175781
2018-04-30 16:30:00,117.25
2018-04-30 17:30:00,118.12000274658203
2018-04-30 18:30:00,118.0999984741211
2018-04-30 19:30:00,117.95999908447266
2018-05-01 13:30:00,118.77999877929688
2018-05-01 14:30:00,118.86000061035156
2018-05-01 15:30:00,119.16000366210938
2018-05-01 16:30:00,118.94650268554688
