Datetime,AMGN
2017-12-04 17:30:00,179.73260498046875
2017-12-04 18:30:00,179.30999755859375
2017-12-04 19:30:00,179.27000427246094
2017-12-04 20:30:00,178.69000244140625
2017-12-05 14:30:00,178.4600067138672
2017-12-05 15:30:00,179.1750030517578
2017-12-05 16:30:00,180.14500427246094
2017-12-05 17:30:00,179.77000427246094
2017-12-05 18:30:00,179.1999969482422
2017-12-05 19:30:00,179.0
2017-12-05 20:30:00,178.6699981689453
2017-12-06 14:30:00,176.6300048828125
2017-12-06 15:30:00,176.22000122070312
2017-12-06 16:30:00,175.05999755859375
2017-12-06 17:30:00,175.3300018310547
2017-12-06 18:30:00,175.75
2017-12-06 19:30:00,175.96499633789062
2017-12-06 20:30:00,176.24000549316406
2017-12-07 14:30:00,175.1699981689453
