Datetime,ALXN
2017-12-04 18:30:00,112.16999816894531
2017-12-04 19:30:00,113.0
2017-12-04 20:30:00,111.75
2017-12-05 14:30:00,112.4000015258789
2017-12-05 15:30:00,111.30999755859375
2017-12-05 16:30:00,111.30000305175781
2017-12-05 17:30:00,110.71499633789062
2017-12-05 18:30:00,110.23999786376953
2017-12-05 19:30:00,109.37000274658203
2017-12-05 20:30:00,108.9000015258789
2017-12-06 14:30:00,108.19000244140625
2017-12-06 15:30:00,108.69000244140625
2017-12-06 16:30:00,108.22000122070312
2017-12-06 17:30:00,108.0
2017-12-06 18:30:00,108.55000305175781
2017-12-06 19:30:00,109.19999694824219
2017-12-06 20:30:00,109.41000366210938
2017-12-07 14:30:00,106.62000274658203
2017-12-07 15:30:00,106.08000183105469
2017-12-07 16:30:00,107.53500366210938
