Datetime,BIIB
2017-12-15 20:30:00,327.94000244140625
2017-12-18 14:30:00,324.8500061035156
2017-12-18 15:30:00,327.0
2017-12-18 16:30:00,326.7099914550781
2017-12-18 17:30:00,327.6000061035156
2017-12-18 18:30:00,326.7200012207031
2017-12-18 19:30:00,326.19000244140625
2017-12-18 20:30:00,325.8900146484375
2017-12-19 14:30:00,325.3550109863281
2017-12-19 15:30:00,327.9599914550781
2017-12-19 16:30:00,326.4200134277344
2017-12-19 17:30:00,326.625
2017-12-19 18:30:00,327.7099914550781
2017-12-19 19:30:00,327.3599853515625
2017-12-19 20:30:00,327.0199890136719
2017-12-20 14:30:00,335.125
2017-12-20 15:30:00,334.9949951171875
2017-12-20 16:30:00,335.4700012207031
2017-12-20 17:30:00,333.9100036621094
2017-12-20 18:30:00,332.92999267578125
2017-12-20 19:30:00,332.8999938964844
2017-12-20 20:30:00,333.5
2017-12-21 14:30:00,326.510009765625
2017-12-21 15:30:00,324.260009765625
2017-12-21 16:30:00,322.6199951171875
2017-12-21 17:30:00,324.82000732421875
2017-12-21 18:30:00,323.2650146484375
2017-12-21 19:30:00,322.75
2017-12-21 20:30:00,322.510009765625
2017-12-22 14:30:00,321.6600036621094
2017-12-22 15:30:00,320.80999755859375
2017-12-22 16:30:00,319.1300048828125
2017-12-22 17:30:00,318.8999938964844
2017-12-22 18:30:00,320.1400146484375
2017-12-22 19:30:00,320.3599853515625
2017-12-22 20:30:00,319.489990234375
2017-12-26 14:30:00,317.42999267578125
2017-12-26 15:30:00,318.67999267578125
2017-12-26 16:30:00,319.0799865722656
2017-12-26 17:30:00,319.44000244140625
2017-12-26 18:30:00,319.0199890136719
2017-12-26 19:30:00,319.4700012207031
2017-12-26 20:30:00,319.7200012207031
2017-12-27 14:30:00,321.5199890136719
2017-12-27 15:30:00,321.1600036621094
2017-12-27 16:30:00,320.91009521484375
2017-12-27 17:30:00,320.1000061035156
2017-12-27 18:30:00,319.3399963378906
2017-12-27 19:30:00,319.5899963378906
2017-12-27 20:30:00,320.05999755859375
2017-12-28 14:30:00,319.4700012207031
2017-12-28 15:30:00,320.32000732421875
2017-12-28 16:30:00,320.80499267578125
2017-12-28 17:30:00,321.1199951171875
2017-12-28 18:30:00,319.92498779296875
2017-12-28 19:30:00,319.95001220703125
2017-12-28 20:30:00,320.30999755859375
2017-12-29 14:30:00,322.0299987792969
2017-12-29 15:30:00,320.6449890136719
2017-12-29 16:30:00,320.6600036621094
2017-12-29 17:30:00,320.2900085449219
2017-12-29 18:30:00,320.1300048828125
2017-12-29 19:30:00,320.4200134277344
2017-12-29 20:30:00,318.6700134277344
2018-01-02 14:30:00,326.7550048828125
2018-01-02 15:30:00,329.55999755859375
2018-01-02 16:30:00,329.114990234375
2018-01-02 17:30:00,329.9800109863281
2018-01-02 18:30:00,332.3599853515625
2018-01-02 19:30:00,334.6600036621094
2018-01-02 20:30:00,334.239990234375
