Datetime,EXPE
2017-11-20 15:30:00,124.29000091552734
2017-11-20 16:30:00,122.83000183105469
2017-11-20 17:30:00,122.77999877929688
2017-11-20 18:30:00,122.32099914550781
2017-11-20 19:30:00,123.2750015258789
2017-11-20 20:30:00,123.5
2017-11-21 14:30:00,123.80999755859375
2017-11-21 15:30:00,124.69999694824219
2017-11-21 16:30:00,124.87999725341797
2017-11-21 17:30:00,124.93000030517578
2017-11-21 18:30:00,125.18000030517578
2017-11-21 19:30:00,125.05999755859375
2017-11-21 20:30:00,124.9000015258789
2017-11-22 14:30:00,125.41999816894531
2017-11-22 15:30:00,126.83000183105469
2017-11-22 16:30:00,127.33000183105469
2017-11-22 17:30:00,127.20999908447266
2017-11-22 18:30:00,127.22000122070312
2017-11-22 19:30:00,127.16999816894531
2017-11-22 20:30:00,127.01000213623047
2017-11-24 14:30:00,126.68000030517578
2017-11-24 15:30:00,127.20999908447266
2017-11-24 16:30:00,127.02110290527344
2017-11-24 18:00:00,126.80999755859375
2017-11-27 14:30:00,128.3800048828125
2017-11-27 15:30:00,127.4749984741211
2017-11-27 16:30:00,127.22049713134766
2017-11-27 17:30:00,127.41999816894531
2017-11-27 18:30:00,127.19999694824219
2017-11-27 19:30:00,126.97000122070312
2017-11-27 20:30:00,126.72000122070312
2017-11-28 14:30:00,125.68000030517578
2017-11-28 15:30:00,126.33999633789062
2017-11-28 16:30:00,125.95999908447266
2017-11-28 17:30:00,125.11000061035156
2017-11-28 18:30:00,125.3499984741211
2017-11-28 19:30:00,125.2699966430664
2017-11-28 20:30:00,125.68000030517578
2017-11-29 14:30:00,121.79499816894531
2017-11-29 15:30:00,122.37000274658203
2017-11-29 16:30:00,122.45999908447266
2017-11-29 17:30:00,123.12000274658203
2017-11-29 18:30:00,122.51000213623047
2017-11-29 19:30:00,121.77899932861328
2017-11-29 20:30:00,122.0199966430664
2017-11-30 14:30:00,122.13999938964844
2017-11-30 15:30:00,122.16000366210938
2017-11-30 16:30:00,123.0
2017-11-30 17:30:00,122.62999725341797
2017-11-30 18:30:00,122.5
2017-11-30 19:30:00,122.30999755859375
2017-11-30 20:30:00,122.45999908447266
2017-12-01 14:30:00,123.08519744873047
2017-12-01 15:30:00,121.4800033569336
2017-12-01 16:30:00,122.22000122070312
2017-12-01 17:30:00,122.25
2017-12-01 18:30:00,122.58000183105469
2017-12-01 19:30:00,122.22000122070312
2017-12-01 20:30:00,122.70999908447266
2017-12-04 14:30:00,123.69000244140625
2017-12-04 15:30:00,123.69499969482422
2017-12-04 16:30:00,123.41999816894531
2017-12-04 17:30:00,123.55999755859375
