Datetime,LRCX
2017-12-04 17:30:00,182.02999877929688
2017-12-04 18:30:00,180.8000030517578
2017-12-04 19:30:00,180.55999755859375
2017-12-04 20:30:00,180.77000427246094
2017-12-05 14:30:00,182.9499969482422
2017-12-05 15:30:00,185.31500244140625
2017-12-05 16:30:00,182.82000732421875
2017-12-05 17:30:00,182.3300018310547
2017-12-05 18:30:00,182.08999633789062
2017-12-05 19:30:00,181.4600067138672
2017-12-05 20:30:00,180.52999877929688
2017-12-06 14:30:00,180.97999572753906
2017-12-06 15:30:00,181.69500732421875
2017-12-06 16:30:00,181.3699951171875
2017-12-06 17:30:00,182.99000549316406
2017-12-06 18:30:00,183.52000427246094
2017-12-06 19:30:00,183.9199981689453
2017-12-06 20:30:00,184.22000122070312
2017-12-07 14:30:00,188.3699951171875
2017-12-07 15:30:00,189.6300048828125
