Datetime,TMUS
2017-12-06 17:30:00,61.54999923706055
2017-12-06 18:30:00,62.0099983215332
2017-12-06 19:30:00,62.08000183105469
2017-12-06 20:30:00,62.130001068115234
2017-12-07 14:30:00,62.369998931884766
2017-12-07 15:30:00,62.40999984741211
2017-12-07 16:30:00,62.209999084472656
2017-12-07 17:30:00,62.119998931884766
2017-12-07 18:30:00,62.130001068115234
2017-12-07 19:30:00,62.189998626708984
2017-12-07 20:30:00,61.93000030517578
2017-12-08 14:30:00,62.650001525878906
2017-12-08 15:30:00,62.60499954223633
2017-12-08 16:30:00,62.7400016784668
2017-12-08 17:30:00,62.63999938964844
2017-12-08 18:30:00,62.77000045776367
2017-12-08 19:30:00,62.790000915527344
2017-12-08 20:30:00,62.54999923706055
2017-12-11 14:30:00,63.20000076293945
